journal,journal_id,discipline,journal_type,year,issue,issue_label,expected,exists,article_count,missing_title_count,missing_authors_count,missing_year_or_issue_count,missing_abstract_count,missing_source_url_count,issue_public_status
公共管理学报,36,公共管理,CSSCI,2004,1,2004年第1期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2004,2,2004年第2期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2004,3,2004年第3期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2004,4,2004年第4期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2005,1,2005年第1期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2005,2,2005年第2期,True,False,0,0,0,0,0,0,not_found_in_public_sources
公共管理学报,36,公共管理,CSSCI,2005,3,2005年第3期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2005,4,2005年第4期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2006,1,2006年第1期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2006,2,2006年第2期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2006,3,2006年第3期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2006,4,2006年第4期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2007,1,2007年第1期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2007,2,2007年第2期,True,True,6,0,0,0,6,0,found
公共管理学报,36,公共管理,CSSCI,2007,3,2007年第3期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2007,4,2007年第4期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2008,1,2008年第1期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2008,2,2008年第2期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2008,3,2008年第3期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2008,4,2008年第4期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2009,1,2009年第1期,True,True,3,0,0,0,3,0,found
公共管理学报,36,公共管理,CSSCI,2009,2,2009年第2期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2009,3,2009年第3期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2009,4,2009年第4期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2010,1,2010年第1期,True,True,2,0,0,0,2,0,found
公共管理学报,36,公共管理,CSSCI,2010,2,2010年第2期,True,True,1,0,0,0,1,0,found
公共管理学报,36,公共管理,CSSCI,2010,3,2010年第3期,True,True,4,0,0,0,4,0,found
公共管理学报,36,公共管理,CSSCI,2010,4,2010年第4期,True,True,3,0,0,0,3,0,found
