journal,year,issue,category,detail,source_url
政治学研究,1948,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1948,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1948,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1948,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1948,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1949,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1949,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1949,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1949,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1949,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1949,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1950,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1950,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1950,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1950,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1950,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1950,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1951,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1951,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1951,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1951,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1951,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1951,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1952,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1952,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1952,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1952,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1952,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1952,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1953,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1953,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1953,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1953,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1953,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1953,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1954,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1954,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1954,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1954,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1954,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1954,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1955,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1955,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1955,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1955,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1955,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1955,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1956,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1956,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1956,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1956,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1956,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1956,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1957,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1957,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1957,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1957,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1957,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1957,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1958,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1958,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1958,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1958,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1958,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1958,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1959,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1959,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1959,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1959,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1959,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1959,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1960,1,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1960,2,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1960,3,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1960,4,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1960,5,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
政治学研究,1960,6,no_public_source_found,未在当前已整理数据或本次低频公开检索中找到该期目录,
